cds,county,district,school,el_count,reclass_count,year,reclass_rate,org_level_num,county_code,district_code,school_code,charter_num,dass_num
30664640000001,Orange,Capistrano Unified,"Nonpublic, Nonsectarian Schools",6,1,20,0.166666666666667,4,30,66464,0000001,,
30664640000001,Orange,Capistrano Unified,"Nonpublic, Nonsectarian Schools",9,0,21,0,4,30,66464,0000001,,
30664640000001,Orange,Capistrano Unified,"Nonpublic, Nonsectarian Schools",8,0,25,0,4,30,66464,0000001,0,0
30664640100735,Orange,Capistrano Unified,Canyon Vista Elementary,30,9,19,0.3,4,30,66464,0100735,,
30664640100735,Orange,Capistrano Unified,Canyon Vista Elementary,31,14,20,0.451612903225806,4,30,66464,0100735,,
30664640100735,Orange,Capistrano Unified,Canyon Vista Elementary,23,7,21,0.304347826086957,4,30,66464,0100735,,
30664640100735,Orange,Capistrano Unified,Canyon Vista Elementary,22,9,25,0.409090909090909,4,30,66464,0100735,0,0
30664640100883,Orange,Capistrano Unified,Vista del Mar Elementary,32,9,19,0.28125,4,30,66464,0100883,,
30664640100883,Orange,Capistrano Unified,Vista del Mar Elementary,27,7,20,0.259259259259259,4,30,66464,0100883,,
30664640100883,Orange,Capistrano Unified,Vista del Mar Elementary,29,4,21,0.137931034482759,4,30,66464,0100883,,
30664640100883,Orange,Capistrano Unified,Vista del Mar Elementary,22,3,25,0.136363636363636,4,30,66464,0100883,0,0
30664640100891,Orange,Capistrano Unified,Vista del Mar Middle,22,1,19,0.0454545454545455,4,30,66464,0100891,,
30664640100891,Orange,Capistrano Unified,Vista del Mar Middle,15,5,20,0.333333333333333,4,30,66464,0100891,,
30664640100891,Orange,Capistrano Unified,Vista del Mar Middle,14,2,21,0.142857142857143,4,30,66464,0100891,,
30664640100891,Orange,Capistrano Unified,Vista del Mar Middle,13,2,25,0.153846153846154,4,30,66464,0100891,0,0
30664640100909,Orange,Capistrano Unified,Ladera Ranch Elementary,40,3,19,0.075,4,30,66464,0100909,,
30664640100909,Orange,Capistrano Unified,Ladera Ranch Elementary,41,7,20,0.170731707317073,4,30,66464,0100909,,
30664640100909,Orange,Capistrano Unified,Ladera Ranch Elementary,39,7,21,0.17948717948718,4,30,66464,0100909,,
30664640100909,Orange,Capistrano Unified,Ladera Ranch Elementary,44,10,25,0.227272727272727,4,30,66464,0100909,0,0
30664640100917,Orange,Capistrano Unified,Ladera Ranch Middle,19,4,19,0.210526315789474,4,30,66464,0100917,,
30664640100917,Orange,Capistrano Unified,Ladera Ranch Middle,22,6,20,0.272727272727273,4,30,66464,0100917,,
30664640100917,Orange,Capistrano Unified,Ladera Ranch Middle,23,2,21,0.0869565217391304,4,30,66464,0100917,,
30664640100917,Orange,Capistrano Unified,Ladera Ranch Middle,34,10,25,0.294117647058824,4,30,66464,0100917,0,0
30664640106765,Orange,Capistrano Unified,Capistrano Connections Academy,129,2,19,0.0155038759689922,4,30,66464,0106765,,
30664640106765,Orange,Capistrano Unified,California Connections Academy Southern California,122,11,20,0.0901639344262295,4,30,66464,0106765,,
30664640106765,Orange,Capistrano Unified,California Connections Academy Southern California,148,10,21,0.0675675675675676,4,30,66464,0106765,,
30664640106765,Orange,Capistrano Unified,California Online Public Schools Southern California,321,33,25,0.102803738317757,4,30,66464,0106765,1,0
30664640108704,Orange,Capistrano Unified,Oso Grande Elementary,33,4,19,0.121212121212121,4,30,66464,0108704,,
30664640108704,Orange,Capistrano Unified,Oso Grande Elementary,23,11,20,0.478260869565217,4,30,66464,0108704,,
